FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day1,G12,Before_Diet,1,146,0.012957046503372382
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day3,G12,Before_Diet,3,0,0
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day1,G21,Before_Diet,1,61,0.005109305636988023
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day3,G21,Before_Diet,3,0,0
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day7,G21,Before_Diet,7,0,0
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day1,H11,After_Diet,1,387,0.029911887463286442
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day3,H11,After_Diet,3,239,0.01708118925100057
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day7,H11,After_Diet,7,652,0.052699644358228256
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day1,H12,After_Diet,1,290,0.02305429684394626
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day3,H12,After_Diet,3,907,0.06724994439089493
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day7,H12,After_Diet,7,3680,0.27794561933534745
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day1,H13,After_Diet,1,267,0.019335216163371714
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day3,H13,After_Diet,3,614,0.04727440714505698
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day7,H13,After_Diet,7,3865,0.327043492976815
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day1,G11,Before_Diet,1,344,0.024902273056319677
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day3,G11,Before_Diet,3,891,0.06865464632454923
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day7,G11,Before_Diet,7,874,0.06786241167792531
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day1,G12,Before_Diet,1,224,0.01987930422435215
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day3,G12,Before_Diet,3,771,0.07064321055525014
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day7,G12,Before_Diet,7,240,0.023045899750336087
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day1,G21,Before_Diet,1,150,0.012563866320462351
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day3,G21,Before_Diet,3,507,0.033040078201368527
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day7,G21,Before_Diet,7,250,0.016078204386134158
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H11.Day1,H11,After_Diet,1,264,0.020405008502086874
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H11.Day3,H11,After_Diet,3,1032,0.07375643224699828
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H11.Day7,H11,After_Diet,7,653,0.052780472033624314
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H12.Day1,H12,After_Diet,1,124,0.009857699340170124
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H12.Day3,H12,After_Diet,3,1193,0.0884555497886854
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H12.Day7,H12,After_Diet,7,682,0.051510574018126885
