FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund,Kingdom,Phylum,Class,Order,Family,Genus,Species
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day3,G11,Before_Diet,3,344,0.026506395438434274,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day7,G11,Before_Diet,7,1167,0.09061262520382017,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day1,G12,Before_Diet,1,283,0.02511537096201633,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day3,G12,Before_Diet,3,282,0.02583837273227048,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G12.Day7,G12,Before_Diet,7,447,0.04292298828500096,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day1,G21,Before_Diet,1,141,0.011810034341234609,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day3,G21,Before_Diet,3,285,0.01857282502443793,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.G21.Day7,G21,Before_Diet,7,1354,0.08707955495530259,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day1,H11,After_Diet,1,1845,0.1426031844179935,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day3,H11,After_Diet,3,777,0.055531732418524875,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H11.Day7,H11,After_Diet,7,179,0.014468153895893954,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day1,H12,After_Diet,1,1746,0.13880276651562126,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day3,H12,After_Diet,3,963,0.07140209090235042,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H12.Day7,H12,After_Diet,7,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day1,H13,After_Diet,1,1653,0.11970454051705409,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day3,H13,After_Diet,3,718,0.055281798583307666,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
ca1392eaa969b2980a69cc34a327e112,MOUSE.H13.Day7,H13,After_Diet,7,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day1,G11,Before_Diet,1,3225,0.23345880990299697,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day3,G11,Before_Diet,3,12,9.246417013407304e-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day7,G11,Before_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day1,G12,Before_Diet,1,3022,0.26819311324103656,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day3,G12,Before_Diet,3,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day7,G12,Before_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day1,G21,Before_Diet,1,2629,0.22020269704330345,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day3,G21,Before_Diet,3,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day7,G21,Before_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day1,H11,After_Diet,1,1067,0.08247024269593446,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day3,H11,After_Diet,3,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day7,H11,After_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day1,H12,After_Diet,1,1422,0.11304555211066063,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day3,H12,After_Diet,3,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day7,H12,After_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day1,H13,After_Diet,1,995,0.07205445723803316,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day3,H13,After_Diet,3,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day7,H13,After_Diet,7,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,celatum
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day1,G11,Before_Diet,1,600,0.04343419719125525,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day3,G11,Before_Diet,3,53,0.00408383418092156,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day7,G11,Before_Diet,7,132,0.010249242953645469,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day1,G12,Before_Diet,1,712,0.06318778842740504,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day3,G12,Before_Diet,3,16,0.0014660069635330768,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day7,G12,Before_Diet,7,165,0.01584405607835606,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day1,G21,Before_Diet,1,507,0.042465868163162744,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day3,G21,Before_Diet,3,111,0.007233626588465298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day7,G21,Before_Diet,7,366,0.023538491221300407,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day1,H11,After_Diet,1,1298,0.10032462513526047,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day3,H11,After_Diet,3,640,0.045740423098913664,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day7,H11,After_Diet,7,411,0.03322017458777886,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day1,H12,After_Diet,1,1370,0.10891167819381509,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day3,H12,After_Diet,3,851,0.06309779787943946,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day7,H12,After_Diet,7,812,0.06132930513595166,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day1,H13,After_Diet,1,1614,0.11688029545948295,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day3,H13,After_Diet,3,1123,0.08646442870341854,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day7,H13,After_Diet,7,745,0.06303943137586732,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day1,G11,Before_Diet,1,177,0.012813088171420298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day3,G11,Before_Diet,3,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day7,G11,Before_Diet,7,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day1,G12,Before_Diet,1,146,0.012957046503372382,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day3,G12,Before_Diet,3,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G12.Day7,G12,Before_Diet,7,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day1,G21,Before_Diet,1,61,0.005109305636988023,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day3,G21,Before_Diet,3,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.G21.Day7,G21,Before_Diet,7,0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day1,H11,After_Diet,1,387,0.029911887463286442,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day3,H11,After_Diet,3,239,0.01708118925100057,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H11.Day7,H11,After_Diet,7,652,0.052699644358228256,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day1,H12,After_Diet,1,290,0.02305429684394626,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day3,H12,After_Diet,3,907,0.06724994439089493,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H12.Day7,H12,After_Diet,7,3680,0.27794561933534745,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day1,H13,After_Diet,1,267,0.019335216163371714,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day3,H13,After_Diet,3,614,0.04727440714505698,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
cece12865e81c96a523b3bb6a4511561,MOUSE.H13.Day7,H13,After_Diet,7,3865,0.327043492976815,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day1,G11,Before_Diet,1,344,0.024902273056319677,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day3,G11,Before_Diet,3,891,0.06865464632454923,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G11.Day7,G11,Before_Diet,7,874,0.06786241167792531,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day1,G12,Before_Diet,1,224,0.01987930422435215,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day3,G12,Before_Diet,3,771,0.07064321055525014,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G12.Day7,G12,Before_Diet,7,240,0.023045899750336087,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day1,G21,Before_Diet,1,150,0.012563866320462351,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day3,G21,Before_Diet,3,507,0.033040078201368527,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
20cf13f228f8d16b499e9493dd2ee208,MOUSE.G21.Day7,G21,Before_Diet,7,250,0.016078204386134158,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
